id,occupation,gender,fame,birthyear
22704,performer,female,superstar,C
46305,politics,male,superstar,D
30260,performer,female,superstar,B
4874,creator,female,superstar,B
41392,manager,male,superstar,B
8614,performer,female,superstar,C
23926,performer,female,superstar,B
20029,performer,female,superstar,B
1548,performer,male,superstar,C
8700,manager,male,superstar,D
26749,creator,female,superstar,D
24863,creator,male,superstar,B
39563,performer,female,superstar,E
15642,creator,male,superstar,C
18621,performer,male,superstar,B
15297,performer,male,superstar,B
32142,performer,male,superstar,E
3486,creator,male,superstar,C
11117,performer,male,superstar,B
2157,performer,male,superstar,D
41075,performer,male,superstar,B
2948,creator,male,superstar,B
45737,performer,female,superstar,C
48178,performer,male,superstar,D
19191,performer,male,superstar,B
22772,creator,male,superstar,C
7143,performer,male,superstar,D
45259,performer,female,superstar,B
14637,sports,male,superstar,B
44077,performer,female,superstar,B
9987,performer,female,superstar,B
45771,performer,male,superstar,C
38432,manager,male,superstar,E
27805,sports,male,superstar,B
12098,creator,female,superstar,E
42043,creator,male,superstar,C
39958,professional,male,superstar,C
21883,creator,female,superstar,C
32301,performer,male,superstar,C
23973,performer,male,superstar,B
32156,creator,male,superstar,C
16144,performer,male,superstar,C
40379,sports,male,superstar,B
46632,performer,female,superstar,C
19662,performer,male,superstar,B
23559,sports,male,superstar,C
7935,performer,female,superstar,B
34818,performer,female,superstar,C
9906,performer,female,superstar,B
2761,sports,male,superstar,B
32202,performer,male,superstar,B
14544,creator,male,superstar,C
18192,performer,male,superstar,C
12604,performer,male,superstar,C
32571,creator,female,superstar,C
18827,politics,male,superstar,D
14301,performer,male,superstar,C
47868,performer,male,superstar,C
17141,creator,female,superstar,D
10171,performer,male,superstar,C
19799,performer,female,superstar,B
21937,performer,male,superstar,B
16661,performer,male,superstar,C
27437,politics,male,superstar,D
2686,creator,male,superstar,C
1577,performer,male,superstar,C
16376,performer,female,superstar,B
22225,performer,male,superstar,C
37963,performer,male,superstar,D
41564,performer,male,superstar,D
17792,performer,male,superstar,C
2406,performer,male,superstar,D
31643,performer,male,superstar,C
6596,science,male,superstar,D
19836,sports,male,superstar,B
10839,performer,female,superstar,C
35606,performer,male,superstar,D
35066,creator,male,superstar,E
24728,performer,female,superstar,B
25850,performer,male,superstar,C
31041,creator,male,superstar,D
46085,sports,male,superstar,C
14342,performer,female,superstar,B
17263,creator,male,superstar,C
43689,creator,male,superstar,C
7998,performer,male,superstar,C
9100,performer,female,superstar,C
10796,performer,male,superstar,C
48070,performer,male,superstar,C
12317,creator,male,superstar,C
31004,sports,female,superstar,E
25546,politics,female,superstar,E
39340,performer,female,superstar,C
16339,performer,male,superstar,D
40060,performer,male,superstar,B
36331,performer,female,superstar,C
26004,performer,male,superstar,D
31410,performer,male,superstar,C
7486,performer,male,superstar,D
9302,performer,female,superstar,B
27700,performer,male,superstar,C
37087,performer,male,superstar,C
16696,science,male,superstar,E
24700,performer,male,superstar,D
3728,science,male,superstar,D
8824,performer,female,superstar,B
22341,creator,male,superstar,C
23385,creator,female,superstar,C
23648,politics,female,superstar,C
24098,performer,male,superstar,B
6431,creator,female,superstar,D
29964,performer,female,superstar,B
43619,creator,male,superstar,C
26235,performer,female,superstar,B
5948,performer,female,superstar,C
2721,creator,male,superstar,C
46859,performer,male,superstar,C
12040,politics,male,superstar,D
16186,creator,male,superstar,B
26944,performer,male,superstar,C
6687,creator,female,superstar,E
14048,performer,male,superstar,D
37009,creator,male,superstar,D
34093,performer,male,superstar,D
39105,performer,male,superstar,C
24400,performer,male,superstar,C
8166,performer,male,superstar,B
16752,creator,male,superstar,B
7091,creator,male,superstar,D
37464,performer,male,superstar,D
47038,creator,female,superstar,B
13740,performer,male,superstar,C
768,performer,female,superstar,D
45702,science,male,superstar,D
16505,performer,male,superstar,B
43031,science,male,superstar,E
5556,performer,male,superstar,C
13453,sports,male,superstar,C
47026,performer,male,superstar,E
22261,performer,male,superstar,B
41989,performer,female,superstar,C
3053,sports,male,superstar,B
30058,performer,male,superstar,B
35858,performer,male,superstar,B
32267,sports,male,superstar,B
3556,performer,female,superstar,B
16138,sports,female,superstar,B
17129,performer,female,superstar,C
35410,creator,male,superstar,B
6681,performer,female,superstar,D
44914,performer,female,superstar,C
11290,sports,male,superstar,C
43586,performer,male,superstar,B
29481,politics,male,superstar,E
40082,creator,male,superstar,D
45476,creator,male,superstar,D
44017,performer,male,superstar,C
36452,performer,female,superstar,B
30334,performer,male,superstar,B
34586,performer,male,superstar,B
28447,sports,male,superstar,B
43462,performer,female,superstar,D
47465,performer,female,superstar,C
43652,sports,female,superstar,B
7517,performer,male,superstar,B
10042,creator,male,superstar,C
42793,performer,male,superstar,C
319,performer,male,superstar,E
41582,performer,female,superstar,B
35369,performer,female,superstar,C
4902,performer,female,superstar,C
20485,performer,male,superstar,B
17089,manager,male,superstar,C
25555,politics,male,superstar,C
15034,performer,female,superstar,C
41043,performer,female,superstar,B
13786,creator,male,superstar,D
24312,performer,female,superstar,C
25720,performer,male,superstar,B
43858,performer,male,superstar,D
13386,performer,female,superstar,B
44772,sports,male,superstar,C
45567,performer,male,superstar,C
33705,creator,male,superstar,C
4405,performer,male,superstar,D
28680,performer,male,superstar,B
10297,performer,female,superstar,B
301,performer,male,superstar,C
15649,performer,male,superstar,B
669,performer,female,superstar,B
16452,creator,male,superstar,D
5096,performer,female,superstar,C
33348,performer,female,superstar,D
7420,performer,female,superstar,C
21919,manager,male,superstar,D
28435,performer,male,superstar,B
3180,politics,male,superstar,D
37302,creator,male,superstar,C
8332,creator,male,superstar,B
2324,performer,female,superstar,C
35915,performer,female,superstar,C
30990,performer,male,superstar,C
29804,performer,male,superstar,C
4499,performer,female,superstar,C
7378,creator,male,superstar,C
5027,creator,male,superstar,C
1735,creator,female,superstar,D
38095,sports,male,superstar,B
15545,performer,male,superstar,C
35200,politics,male,superstar,D
38040,performer,female,superstar,C
11966,performer,female,superstar,C
47059,performer,female,superstar,B
18914,creator,male,superstar,E
21437,performer,male,superstar,B
22029,performer,male,superstar,B
1198,performer,female,superstar,B
19828,performer,male,superstar,D
19621,performer,male,superstar,C
12070,creator,female,superstar,C
36308,performer,male,superstar,D
22442,manager,male,superstar,D
31223,performer,male,superstar,C
47133,politics,male,superstar,E
5185,performer,female,superstar,B
43300,performer,female,superstar,C
13041,science,male,superstar,D
2298,creator,female,superstar,B
43125,performer,female,superstar,C
29072,sports,male,superstar,B
